icd_code,cls_code,mapping_type,priority,source_version,note,evidence_level
E11.9,CLS-XN-DUONG-HUYET,recommended,1,MAP-2026.01,Mục đích: Định lượng glucose huyết đói giám sát kiểm soát đường huyết hàng tháng (theo Hướng dẫn ADA 2024 và QĐ 5481/BYT). Ưu tiên: Bắt buộc mỗi lần tái khám bệnh nhân ĐTĐ. Lặp lại: 1 tháng/lần.,I
E11.9,CLS-XN-HBA1C,recommended,2,MAP-2026.01,Mục đích: Đánh giá đường huyết trung bình 2-3 tháng trước đó; mục tiêu HbA1c <7% theo ADA 2024. Ưu tiên: Đóng vai trò then chốt trong điều chỉnh phác đồ. Lặp lại: 3 tháng/lần.,I
E11.9,CLS-XN-NUOC-TIEU,recommended,3,MAP-2026.01,Mục đích: Tổng phân tích nước tiểu tầm soát đạm niệu/đường niệu/nhiễm trùng tiết niệu. Ưu tiên: Đi kèm xét nghiệm máu mỗi lần tái khám. Lặp lại: 3-6 tháng/lần.,I
E11.9,CLS-XN-MICROALBUMIN,suggested,4,MAP-2026.01,Mục đích: Phát hiện sớm bệnh thận đái tháo đường giai đoạn vi thể (albumin/creatinin niệu) trước khi đạm niệu rõ. Ưu tiên: Khuyến cáo mạnh ở ĐTĐ typ 2 >5 năm (ADA 2024). Lặp lại: 6 tháng/lần.,IIa
E78.5,CLS-XN-LIPID,recommended,1,MAP-2026.01,Mục đích: Đánh giá bilan lipid máu (TC/LDL-C/HDL-C/TG) để theo dõi đáp ứng Statin; mục tiêu LDL-C <1.8 mmol/L ở bệnh nhân nguy cơ rất cao (ESC/EAS 2019). Ưu tiên: Tiêu chuẩn vàng trong quản lý rối loạn lipid máu. Lặp lại: 3 tháng/lần sau khởi trị; 6 tháng/lần khi đã ổn định.,I
J01.9,CLS-TDCN-NOI-SOI-TMH,recommended,1,MAP-ENT-2026,Mục đích: Nội soi linh hoạt tai mũi họng quan sát trực tiếp niêm mạc mũi/xoang/vòm mũi họng đánh giá phù nề/mủ/polyp. Ưu tiên: Thăm khám tiêu chuẩn đầu tay tại chuyên khoa TMH (theo EPOS 2020). Lặp lại: 1 tháng/lần hoặc khi triệu chứng tái phát.,I
J01.9,CLS-CDHA-XQUANG-BLATT,recommended,2,MAP-ENT-2026,Mục đích: X-quang tư thế Blondeau đánh giá mờ xoang hàm/trán; thay thế CT khi không có sẵn chẩn đoán hình ảnh nâng cao. Ưu tiên: Chỉ chọn khi cơ sở không có CT hoặc nội soi. Lặp lại: 6 tháng/lần hoặc khi nghi ngờ biến chứng.,I
J02.9,CLS-TDCN-NOI-SOI-TMH,recommended,1,MAP-ENT-2026,Mục đích: Đánh giá mức độ viêm họng/amidan (phù nề/xuất tiết/mủ) và loại trừ tổn thương kèm theo. Ưu tiên: Nên kết hợp ngay lần khám đầu để tiên lượng mức độ viêm. Lặp lại: Khi có đợt cấp mới.,I
J03.9,CLS-TDCN-NOI-SOI-TMH,recommended,1,MAP-ENT-2026,Mục đích: Phát hiện ngách mủ amidan và loại trừ tân sinh vùng hầu họng. Ưu tiên: Ưu tiên nội soi để xác nhận chỉ định cắt amidan nếu tái phát ≥7 đợt/năm (theo Paradise criteria). Lặp lại: Khi tái viêm cấp.,I
J32.9,CLS-TDCN-NOI-SOI-TMH,recommended,1,MAP-ENT-2026,Mục đích: Nội soi theo dõi viêm xoang mạn tính đánh giá đáp ứng điều trị và quyết định chỉ định phẫu thuật (FESS). Ưu tiên: Khám định kỳ quyết định nội khoa hay ngoại khoa (theo EPOS 2020). Lặp lại: 3-6 tháng/lần.,I
J32.9,CLS-CDHA-XQUANG-BLATT,recommended,2,MAP-ENT-2026,Mục đích: Đánh giá xương xoang mờ/dày niêm mạc/tiêu xương trong viêm xoang mạn tính. Ưu tiên: Chọn khi cần đánh giá nhanh trước khi chụp CT xoang. Lặp lại: 6 tháng/lần.,I
