drug_code,drug_name,drug_group,route,strength,is_bhyt_covered,is_active,source_ref,therapeutic_purpose,side_effects,drug_interactions,max_duration_days,max_quantity_per_rx,requires_monitoring_cls,contraindicated_icd
MED-ACEI-PERINDOPRIL,Perindopril,Ức chế men chuyển (ACEi),Uống,5mg,TRUE,TRUE,FORMULARY-PILOT-2026,Giảm huyết áp và bảo vệ chức năng thận (giảm đạm niệu) qua cơ chế ức chế men chuyển angiotensin I thành II,Ho khan; tăng kali máu; suy giảm chức năng thận cấp (nếu hẹp động mạch thận hai bên),Thuốc lợi tiểu giữ kali (tăng kali máu); NSAID (giảm chức năng thận),30,90,CLS-XN-CREATININE,
MED-ARB-LOSARTAN,Losartan,Ức chế thụ thể (ARB),Uống,50mg,TRUE,TRUE,FORMULARY-PILOT-2026,Giảm huyết áp và bảo vệ thận thông qua ức chế chọn lọc thụ thể AT1 của angiotensin II (thay thế khi không dung nạp ACEi do ho),Tăng kali máu; nhức đầu; chóng mặt hạ huyết áp,Thuốc lợi tiểu giữ kali; NSAID,30,90,CLS-XN-CREATININE,
MED-CCB-AMLODIPINE,Amlodipine,Chẹn kênh calci (CCB),Uống,5mg,TRUE,TRUE,FORMULARY-PILOT-2026,Giảm huyết áp thông qua giãn cơ trơn mạch máu ngoại biên,Phù cổ chân; đỏ bừng mặt; nhức đầu; đánh trống ngực,Ức chế CYP3A4 (Clarithromycin Ketoconazole) làm tăng nồng độ Amlodipine,30,90,,
MED-DM-METFORMIN,Metformin,Thuốc hạ đường huyết,Uống,500mg,TRUE,TRUE,FORMULARY-PILOT-2026,Giảm sản xuất glucose ở gan và tăng nhạy cảm insulin ở mô ngoại biên — nền tảng điều trị ĐTĐ typ 2,Hội chứng tiêu hóa (tiêu chảy buồn nôn đầy bụng); nhiễm toan lactic (hiếm nhưng nguy hiểm),Thuốc cản quang có iod (nguy cơ suy thận cấp và toan lactic — cần ngưng trước chụp),30,90,,
MED-DM-GLICLAZIDE,Gliclazide MR,Thuốc hạ đường huyết,Uống,30mg,TRUE,TRUE,FORMULARY-PILOT-2026,Kích thích tế bào beta tuyến tụy tiết insulin giúp kiểm soát đường huyết sau ăn và lúc đói,Hạ đường huyết mức độ vừa đến nặng; tăng cân nhẹ,Thuốc ức chế beta (che lấp triệu chứng hạ đường huyết); thuốc kháng nấm (Miconazole),30,90,,
MED-STATIN-ATORVASTATIN,Atorvastatin,Thuốc Statin (Hạ mỡ máu),Uống,10mg,TRUE,TRUE,FORMULARY-PILOT-2026,Giảm sản xuất cholesterol ở gan và tăng thanh thải LDL-C — đóng vai trò dự phòng biến cố tim mạch,Đau cơ/yếu cơ; tăng men gan; tăng đường huyết nhẹ,Ức chế mạnh CYP3A4 (Clarithromycin Itraconazole) làm tăng nguy cơ tiêu cơ vân,30,90,CLS-XN-AST-ALT,
MED-STATIN-ROSUVASTATIN,Rosuvastatin,Thuốc Statin (Hạ mỡ máu),Uống,10mg,TRUE,TRUE,FORMULARY-PILOT-2026,Giảm LDL-C mạnh mẽ hơn các statin khác thích hợp cho bệnh nhân nguy cơ tim mạch rất cao,Đau cơ; protein niệu; tăng men gan,Cyclosporine; Gemfibrozil (tăng nguy cơ bệnh cơ),30,90,CLS-XN-AST-ALT,
MED-ABX-AMOX-CLAV,Amoxicillin/Clavulanate,Thuốc kháng sinh,Uống,625mg,TRUE,TRUE,FORMULARY-ENT-2026,Kháng sinh phổ rộng có chất ức chế beta-lactamase — ưu tiên cho nhiễm khuẩn hô hấp/TMH do phế cầu khuẩn hoặc H.influenzae,Tiêu chảy (đặc biệt ở trẻ em); viêm ruột giả mạc; phát ban dị ứng,Thuốc tránh thai đường uống (giảm hấp thu); Allopurinol (tăng nguy cơ phát ban),10,90,,
MED-ABX-CEFUROXIME,Cefuroxime,Thuốc kháng sinh,Uống,500mg,TRUE,TRUE,FORMULARY-ENT-2026,Kháng sinh cephalosporin thế hệ 2 — thay thế cho Penicillin trong nhiễm khuẩn hô hấp mức độ vừa,Buồn nôn/tiêu chảy; dị ứng chéo với Penicillin (tỷ lệ thấp),Thuốc giảm axit dạ dày (PPI/Antacid) làm giảm hấp thu Cefuroxime,10,90,,
MED-ABX-AZITHROMYCIN,Azithromycin,Thuốc kháng sinh,Uống,500mg,TRUE,TRUE,FORMULARY-ENT-2026,Kháng sinh nhóm macrolide — điều trị vi khuẩn nội bào hoặc khi bệnh nhân dị ứng beta-lactam nghiêm trọng,Rối loạn tiêu hóa nhức đầu; nguy cơ kéo dài khoảng QT trên điện tâm đồ,Colchicine (tăng độc tính); thuốc kéo dài QT khác (Amiodarone),10,90,,
MED-CORT-BUDESONIDE-NS,Budesonide xịt mũi,Corticoid tại chỗ,Xịt mũi,64mcg/nháy,TRUE,TRUE,FORMULARY-ENT-2026,Kháng viêm tại niêm mạc mũi giảm triệu chứng nghẹt mũi/sổ mũi/hắt hơi trong viêm mũi dị ứng và viêm xoang mạn,Khô mũi; chảy máu cam nhẹ; kích ứng niêm mạc,Ít tương tác toàn thân nhưng thận trọng với chất ức chế mạnh CYP3A4 nếu dùng liều cao dài ngày,30,90,,
MED-ANTIH-LORATADINE,Loratadine,Thuốc kháng Histamin H1,Uống,10mg,TRUE,TRUE,FORMULARY-ENT-2026,Kháng histamin H1 thế hệ 2 giảm hắt hơi/ngứa mũi/chảy nước mắt — ít gây buồn ngủ hơn thế hệ 1,Đau đầu mệt mỏi khô miệng; buồn ngủ (ở số ít người nhạy cảm),Amiodarone Ketoconazole Erythromycin (tăng nồng độ Loratadine),30,90,,
MED-COMACH-OXYMETAZOLINE,Oxymetazoline nhỏ mũi,Thuốc co mạch mũi,Nhỏ mũi,0.05%,TRUE,TRUE,FORMULARY-ENT-2026,Co mạch tại chỗ giảm nghẹt mũi nhanh chóng ngắn hạn,Gây viêm mũi do thuốc (rhinitis medicamentosa) nếu dùng quá 5 ngày; khô mũi,Thuốc ức chế MAO (gây tăng huyết áp kịch phát),5,90,,
MED-ABX-AMOXICILLIN,Amoxicillin,Thuốc kháng sinh,Uống,500mg,TRUE,TRUE,FORMULARY-RHM-2026,Kháng sinh nhóm Penicillin phổ rộng diệt vi khuẩn gây nhiễm trùng vùng răng hàm mặt,Phát ban dị ứng tiêu chảy buồn nôn,Thuốc tránh thai (giảm tác dụng),10,90,,
MED-ABX-METRONIDAZOLE,Metronidazole,Thuốc kháng sinh kỵ khí,Uống,250mg,TRUE,TRUE,FORMULARY-RHM-2026,Đặc trị vi khuẩn kỵ khí thường phối hợp trong viêm tủy/nhiễm trùng quanh chóp răng,Vị kim loại trong miệng buồn nôn rối loạn tiêu hóa nước tiểu sẫm màu,Tuyệt đối kiêng rượu (hiệu ứng disulfiram); Warfarin (tăng chảy máu),10,90,,
MED-NSAID-IBUPROFEN,Ibuprofen,Thuốc giảm đau kháng viêm (NSAID),Uống,400mg,TRUE,TRUE,FORMULARY-RHM-2026,Giảm đau và kháng viêm mạnh áp dụng sau thủ thuật hoặc đau nhức khớp/răng,Kích ứng/loét dạ dày xuất huyết tiêu hóa tăng huyết áp tổn thương thận cấp,Thuốc chống đông; Aspirin (giảm tác dụng bảo vệ tim); ACEi/ARB,14,90,,
MED-ANAL-PARACETAMOL,Paracetamol,Thuốc giảm đau hạ sốt,Uống,500mg,TRUE,TRUE,FORMULARY-RHM-2026,Giảm đau nhẹ đến vừa và hạ sốt an toàn cho người có bệnh lý dạ dày/hen suyễn,Độc tính trên gan nếu dùng quá liều (>4g/ngày hoặc có bệnh gan nền),Rượu hoặc thuốc chuyển hóa qua gan làm tăng độc tính gan,30,90,,
MED-ANES-LIDOCAINE,Lidocaine + Epinephrine,Thuốc gây tê tại chỗ,Tiêm tại chỗ,2%/1:100000,TRUE,TRUE,FORMULARY-RHM-2026,Gây tê cục bộ cho thủ thuật nha khoa (nhổ răng/cạo vôi sâu/lấy tủy),Hoảng hốt nhịp tim nhanh thoáng qua (do epinephrine) hoặc shock phản vệ (hiếm),Thuốc chẹn beta không chọn lọc; thuốc chống trầm cảm ba vòng,30,90,,
MED-ANTI-CHLORHEXIDINE,Chlorhexidine 0.12%,Dung dịch sát khuẩn miệng,Súc miệng,0.12%,TRUE,TRUE,FORMULARY-RHM-2026,Sát khuẩn giảm mảng bám và viêm nướu dùng được trước/sau thủ thuật RHM,Đổi màu răng (ố vàng); thay đổi vị giác; nóng rát nhẹ,Không dùng chung kem đánh răng có SLS (Sodium Lauryl Sulfate) làm mất tác dụng,30,90,,
MED-OA-GLUCOSAMINE,Glucosamine sulfate,Thuốc chống thoái hóa khớp,Uống,1500mg,TRUE,TRUE,FORMULARY-MSK-2026,Hỗ trợ tái tạo sụn khớp và giảm triệu chứng thoái hóa khớp gối mạn tính,Rối loạn tiêu hóa nhẹ buồn nôn táo bón tiêu chảy,Warfarin (có thể làm tăng thời gian đông máu),30,90,,
MED-CORT-METHYLPRED-ACETATE,Methylprednisolone acetate,Corticoid tác dụng kéo dài,Tiêm khớp,40mg/ml,TRUE,TRUE,FORMULARY-MSK-2026,Kháng viêm cực kỳ mạnh tại vị trí tiêm giúp cắt nhanh triệu chứng viêm khớp cấp,Đau tại chỗ tạm thời; nguy cơ nhiễm trùng khớp nếu không vô khuẩn; teo cơ tổn thương sụn nếu lặp lại gần,Thuốc hạ đường huyết (có khả năng tăng mức đường máu nhẹ qua hấp thu toàn thân),30,90,,
MED-GOUT-COLCHICINE,Colchicine,Thuốc điều trị gút cấp,Uống,1mg,TRUE,TRUE,FORMULARY-MSK-2026,Cắt sớm cơn gút cấp bằng cách ngăn bạch cầu di chuyển vào khớp bị viêm,Tiêu chảy (rất thường gặp khi dùng liều cao); nôn đau bụng; độc tính cơ/thần kinh,Clarithromycin; Erythromycin; Statin (tăng độc tính colchicine),30,90,,
MED-GOUT-ALLOPURINOL,Allopurinol,Thuốc hạ Axit Uric máu,Uống,300mg,TRUE,TRUE,FORMULARY-MSK-2026,Giảm sản xuất acid uric để phòng ngừa cơn gút dài hạn,Hội chứng quá mẫn (như SJS/TEN rất nặng) phát ban rối loạn tiêu hóa,Azathioprine; Mercaptopurine (tăng độc tính các thuốc này rất mạnh),30,90,,
MED-BETA-BISOPROLOL,Bisoprolol,Thuốc chẹn Beta giao cảm,Uống,5mg,TRUE,TRUE,FORMULARY-CARDIO-2026,Kiểm soát nhịp tim hạ huyết áp và giảm gắng sức cơ tim cải thiện tử vong trong suy tim,Nhịp tim chậm mệt mỏi tay chân lạnh nguy cơ che lấp triệu chứng hạ đường huyết,CCB phi DHP (Verapamil/Diltiazem) gây nhịp chậm quá mức,30,90,,
