icd_code,drug_code,mapping_type,priority,source_version,note,evidence_level
E11.9,MED-DM-METFORMIN,preferred,1,MAP-2026.01,Mục đích: Kiểm soát đường huyết cơ bản lâu dài qua giảm sản xuất glucose ở gan. Tác dụng phụ: Rối loạn tiêu hóa (tiêu chảy buồn nôn); nhiễm toan lactic nếu suy thận. Tương tác: Ngưng trước khi chụp cản quang có iod.,I
E11.9,MED-DM-GLICLAZIDE,suggested,2,MAP-2026.01,Mục đích: Kích thích tế bào beta tuyến tụy tiết thêm insulin khi Metformin chưa đủ kiểm soát. Tác dụng phụ: Hạ đường huyết; tăng cân. Tương tác: Rượu bia làm tăng nguy cơ hạ đường huyết; Miconazole tăng nồng độ thuốc.,IIa
E78.5,MED-STATIN-ATORVASTATIN,preferred,1,MAP-2026.01,Mục đích: Giảm LDL-cholesterol mạnh mẽ và dự phòng biến cố xơ vữa động mạch. Tác dụng phụ: Đau cơ; tăng men gan; nguy cơ tiêu cơ vân (hiếm). Tương tác: Thuốc ức chế CYP3A4 (Clarithromycin Itraconazole) tăng nguy cơ độc cơ.,I
E78.5,MED-STATIN-ROSUVASTATIN,suggested,2,MAP-2026.01,Mục đích: Thay thế Atorvastatin khi cần giảm LDL-C mạnh hơn hoặc không dung nạp Ator. Tác dụng phụ: Đạm niệu; đau cơ; tăng men gan. Tương tác: Cyclosporine và Gemfibrozil tăng nguy cơ bệnh cơ.,IIa
J01.9,MED-ABX-AMOX-CLAV,preferred,1,MAP-ENT-2026,Mục đích: Kháng sinh phổ rộng diệt vi khuẩn sinh beta-lactamase trong viêm xoang cấp. Tác dụng phụ: Tiêu chảy do thành phần Clavulanate; dị ứng da. Tương tác: Giảm hiệu lực thuốc tránh thai đường uống.,I
J01.9,MED-ABX-CEFUROXIME,suggested,2,MAP-ENT-2026,Mục đích: Thay thế khi bệnh nhân dị ứng nhẹ Penicillin hoặc vi khuẩn kháng Amoxicillin. Tác dụng phụ: Buồn nôn; dị ứng chéo với Penicillin (tỷ lệ thấp). Tương tác: PPI và Antacid giảm hấp thu Cefuroxime.,IIa
J01.9,MED-CORT-BUDESONIDE-NS,recommended,3,MAP-ENT-2026,Mục đích: Kháng viêm tại chỗ niêm mạc mũi giảm phù nề và nghẹt xoang. Tác dụng phụ: Khô mũi; chảy máu cam nhẹ; kích ứng niêm mạc. Tương tác: Thuốc ức chế CYP3A4 mạnh (Itraconazole) nếu dùng liều cao kéo dài.,I
J01.9,MED-COMACH-OXYMETAZOLINE,suggested,4,MAP-ENT-2026,Mục đích: Co mạch tại chỗ giảm nghẹt mũi nhanh ngắn hạn (tối đa 5 ngày). Tác dụng phụ: Viêm mũi do thuốc (rhinitis medicamentosa) nếu dùng quá 5 ngày. Tương tác: Thuốc ức chế MAO gây tăng huyết áp kịch phát.,IIa
J02.9,MED-ABX-AMOX-CLAV,preferred,1,MAP-ENT-2026,Mục đích: Diệt liên cầu khuẩn tan huyết nhóm A và vi khuẩn gây viêm họng có mủ. Tác dụng phụ: Tiêu chảy; phát ban dị ứng. Tương tác: Probenecid tăng nồng độ Amoxicillin trong máu.,I
J02.9,MED-ABX-AZITHROMYCIN,suggested,2,MAP-ENT-2026,Mục đích: Thay thế khi dị ứng nặng nhóm Beta-lactam; phác đồ 3 ngày tiện lợi. Tác dụng phụ: Rối loạn tiêu hóa; nguy cơ kéo dài khoảng QT. Tương tác: Amiodarone và thuốc kéo dài QT khác tăng rối loạn nhịp tim.,IIa
J02.9,MED-ANTIH-LORATADINE,suggested,3,MAP-ENT-2026,Mục đích: Giảm triệu chứng dị ứng kèm theo (ngứa họng hắt hơi chảy nước mũi). Tác dụng phụ: Đau đầu; khô miệng; buồn ngủ nhẹ. Tương tác: Ketoconazole và Erythromycin tăng nồng độ thuốc.,IIa
J03.9,MED-ABX-AMOX-CLAV,preferred,1,MAP-ENT-2026,Mục đích: Điều trị viêm amidan cấp có mủ do vi khuẩn. Tác dụng phụ: Rối loạn tiêu hóa; phát ban. Tương tác: Allopurinol tăng nguy cơ phát ban dị ứng.,I
J03.9,MED-ABX-CEFUROXIME,suggested,2,MAP-ENT-2026,Mục đích: Thay thế khi vi khuẩn kháng thuốc hoặc dị ứng nhẹ Penicillin. Tác dụng phụ: Buồn nôn; viêm ruột do Clostridioides difficile (hiếm). Tương tác: Antacid giảm hấp thu thuốc.,IIa
J32.9,MED-ABX-AMOX-CLAV,preferred,1,MAP-ENT-2026,Mục đích: Điều trị đợt bùng phát cấp của viêm xoang mạn tính. Tác dụng phụ: Tiêu chảy; ảnh hưởng chức năng gan nếu dùng kéo dài. Tương tác: Warfarin tăng nguy cơ chảy máu (cần theo dõi INR).,I
J32.9,MED-ABX-AZITHROMYCIN,suggested,2,MAP-ENT-2026,Mục đích: Thay thế cho bệnh nhân dị ứng Penicillin; phác đồ ngắn ngày 3-5 ngày. Tác dụng phụ: Tiêu chảy nhẹ; rối loạn vị giác. Tương tác: Colchicine tăng độc tính khi dùng chung.,IIa
J32.9,MED-CORT-BUDESONIDE-NS,recommended,3,MAP-ENT-2026,Mục đích: Kháng viêm duy trì nền giảm nghẹt mũi và tái phát viêm xoang. Tác dụng phụ: Khô mũi; nhiễm nấm mũi họng nếu dùng kéo dài. Tương tác: Ketoconazole ức chế CYP3A4 tăng tác dụng toàn thân.,I
J32.9,MED-ANTIH-LORATADINE,suggested,4,MAP-ENT-2026,Mục đích: Giảm triệu chứng dị ứng kèm theo gây tiết dịch xoang kéo dài. Tác dụng phụ: Khô miệng nhẹ; hiếm khi buồn ngủ. Tương tác: Macrolide tăng nhẹ nồng độ thuốc.,IIa
H66.9,MED-ABX-AMOX-CLAV,preferred,1,MAP-ENT-2026,Mục đích: Điều trị viêm tai giữa cấp do vi khuẩn gây ứ dịch phía sau màng nhĩ. Tác dụng phụ: Phát ban; tiêu chảy. Tương tác: Methotrexate tăng độc tính khi dùng chung.,I
H66.9,MED-ABX-CEFUROXIME,suggested,2,MAP-ENT-2026,Mục đích: Thay thế khi dị ứng nhẹ Penicillin hoặc thất bại điều trị đầu tay. Tác dụng phụ: Tiêu chảy nhẹ; buồn nôn. Tương tác: Thuốc ức chế bơm proton giảm hấp thu.,IIa
K02.1,MED-ANAL-PARACETAMOL,suggested,1,MAP-RHM-2026,Mục đích: Giảm đau nhẹ đến vừa do sâu răng chưa biến chứng tủy. Tác dụng phụ: Độc tính gan nếu quá liều (>4g/ngày). Tương tác: Rượu và thuốc chống co giật tăng nguy cơ tổn thương gan.,IIa
K02.5,MED-ABX-AMOXICILLIN,preferred,1,MAP-RHM-2026,Mục đích: Kháng sinh phòng ngừa viêm tủy lan rộng khi sâu răng đã xâm lấn tủy. Tác dụng phụ: Tiêu chảy; phát ban dị ứng. Tương tác: Giảm hiệu lực thuốc tránh thai đường uống.,I
K02.5,MED-NSAID-IBUPROFEN,recommended,2,MAP-RHM-2026,Mục đích: Giảm đau kháng viêm khi viêm tủy gây sưng nề nhẹ quanh chóp răng. Tác dụng phụ: Kích ứng dạ dày; loét niêm mạc nếu dùng kéo dài. Tương tác: Aspirin giảm tác dụng bảo vệ tim mạch khi dùng chung.,I
K04.0,MED-ABX-AMOXICILLIN,preferred,1,MAP-RHM-2026,Mục đích: Kiểm soát nhiễm trùng tủy răng viêm trước khi thực hiện thủ thuật chữa tủy. Tác dụng phụ: Dị ứng da (phát ban mày đay); tiêu chảy. Tương tác: Thuốc chống đông (Warfarin) tăng nguy cơ chảy máu.,I
K04.0,MED-NSAID-IBUPROFEN,recommended,2,MAP-RHM-2026,Mục đích: Giảm đau viêm tủy cấp tính và mạn tính. Tác dụng phụ: Kích ứng loét dạ dày tá tràng. Tương tác: ACEi hoặc ARB giảm hiệu lực và tăng nguy cơ tổn thương thận.,I
K04.0,MED-ANAL-PARACETAMOL,suggested,3,MAP-RHM-2026,Mục đích: Thay thế giảm đau khi bệnh nhân có tiền sử viêm loét dạ dày không dùng được NSAID. Tác dụng phụ: Độc tính gan khi dùng quá liều. Tương tác: Rượu bia tăng nguy cơ tổn thương gan.,IIa
K04.1,MED-ABX-AMOXICILLIN,preferred,1,MAP-RHM-2026,Mục đích: Điều trị nhiễm trùng tủy hoại tử và áp xe quanh chóp răng. Tác dụng phụ: Phát ban dị ứng; rối loạn tiêu hóa. Tương tác: Kháng sinh kìm khuẩn (Tetracycline) có thể đối kháng.,I
K04.1,MED-ABX-METRONIDAZOLE,recommended,2,MAP-RHM-2026,Mục đích: Phối hợp diệt vi khuẩn kỵ khí trong nhiễm trùng quanh chóp và xoang hàm do răng. Tác dụng phụ: Vị kim loại trong miệng; buồn nôn; nước tiểu sẫm màu. Tương tác: Tuyệt đối kiêng rượu (hiệu ứng Disulfiram gây nôn dữ dội).,I
K04.1,MED-NSAID-IBUPROFEN,recommended,3,MAP-RHM-2026,Mục đích: Kháng viêm giảm đau sưng nề khu trú quanh chóp răng hoại tử. Tác dụng phụ: Xuất huyết tiêu hóa nếu dùng kéo dài. Tương tác: Warfarin tăng nguy cơ chảy máu.,I
K05.1,MED-ANTI-CHLORHEXIDINE,recommended,1,MAP-RHM-2026,Mục đích: Sát khuẩn giảm mảng bám vi khuẩn gây viêm nướu và viêm nha chu. Tác dụng phụ: Ố vàng răng; thay đổi vị giác tạm thời. Tương tác: Không dùng chung kem đánh răng có SLS (giảm tác dụng sát khuẩn).,I
K05.1,MED-ABX-METRONIDAZOLE,suggested,2,MAP-RHM-2026,Mục đích: Điều trị viêm túi nha chu có nhiễm khuẩn kỵ khí và có mủ. Tác dụng phụ: Vị kim loại; buồn nôn; chóng mặt. Tương tác: Kiêng rượu tuyệt đối trong và sau dùng thuốc 48 giờ.,IIa
